?x	?y
25914	25874
76005	4206
261804	261725
395610	395575
479880	479848
622180	622107
699843	699816
775580	775551
785169	785145
870526	870461
1002011	1001959
1028997	1028981
1217250	753473
1751128	1751103
1854144	1854108
2779711	1950009
2781297	2781263
2783620	2783601
2783621	2783601
3214899	3214880
3457641	3457610
4064073	4064053
4210232	4210218
4425948	4225824
5346649	148210
5346649	5346599
5445103	5445082
5500961	5500945
5657208	5657199
5900187	5900181
6150186	6150178
6435685	6435674
6538558	6538535
6538559	6538535
6556340	6556318
6578172	6578160
6758504	6758492
7032102	7032086
7231333	7231318
7240885	7240867
7249693	7249681
7322554	7322540
7364680	7364671
7555855	7555844
7781886	7781871
11259823	4200807
11778117	11778101
12651336	479901
13009947	13009930
16099189	16099182
22051159	51256870
38021430	38021425
48123778	48123775
48123817	48123815
48123896	48123894
48123946	48123943
50477084	15273133
50485024	269746
50500634	479902
50502713	1191913
50779160	126921105
50849106	8202671
50887668	22574033
50903822	43581707
50906866	395580
50907627	14917543
50915259	1950010
50944473	50944451
51041876	51041865
51144001	51143978
51303208	4948724
51491227	7690433
51668097	51668081
51792686	51792652
51803978	51803952
52517086	52517072
52530804	52530784
53320565	48166301
53744872	53744858
53835401	272639140
53979539	53979523
54202207	54202180
54471939	54471924
54606295	54606275
54803196	51966693
54822482	54822474
54859035	54859022
54871387	21010971
54871449	54871436
55005719	55005711
55062412	55062407
55106798	55106785
55177499	55177485
55364086	55364082
55412609	15106724
55416585	55416573
55788794	55788780
55865365	127150812
56028796	56028789
56045148	1032312
56125333	56125330
56131854	56131846
56167256	56167242
56208628	56208620
56210274	56210266
56404058	56404047
56546083	56546071
56572976	56572969
56630287	56630276
56692515	56692500
60450628	60450607
60862011	60862006
61239994	162756582
62577791	62577788
64006301	64006299
64418767	64418764
65740920	65740911
70305464	1936378
89310017	89310014
89310023	89310020
89310027	89310025
89310064	89310062
89310127	89310124
89418950	89418948
91377785	652129
91538353	5581966
91603322	91603304
91686542	1458584
91761636	91761599
91764389	6903272
91814672	14607511
91865000	5981082
91867749	4623115
91896758	14600826
92022971	13384179
92044600	56752515
92050699	56107146
92061185	92061155
92367626	64378689
92374917	56742191
92525720	2986150
92578696	92578682
92598342	92598321
92625787	51317670
92636388	92636368
92846790	92846779
92846792	92846779
93045359	2549582
93563612	93563589
93566533	13049174
93568681	12756609
94144139	94144118
94261118	94261100
94315016	92383665
94402768	94402750
94548147	23197035
94887522	91797084
95258937	95258925
95493976	95493971
95501608	95501584
95682849	95682825
95721452	95721441
95740959	95740940
95747437	95747433
95808496	95808491
95810789	92383664
95940319	95940301
95998541	95998519
96088782	96088765
96425529	96425504
96466850	96466840
96468674	96468668
96518898	96518888
96581114	96581099
97045360	236880567
97064037	97064029
97125387	97125381
97384769	97384762
97400995	97400983
98058022	98058010
99828862	1490975
100047836	100047820
100742497	100742488
101096137	101096131
101097143	101097123
101136317	101136308
102276343	45715271
102608214	102608210
102950190	102950183
106487223	294335966
122345934	122345931
123336505	123336503
127054321	127054319
127054438	127054436
127054442	127054440
127054464	127054461
127150802	127150800
128958985	106938
129023647	5840277
129112510	4338480
129132405	5976429
129178852	129178838
129205904	129205887
129231000	1974850
129261244	3256018
129268662	725740
129277171	14603895
129308831	6219065
129330738	3380011
