dataset,fast_time,slow_time,speedup
1,0.00350496,0.00342572,0.9773920387108554
2,0.00759926,0.00747033,0.9830338743509236
3,0.00360339,0.0035327,0.9803823621645174
4,0.00213398,0.00220144,1.0316122925238285
5,0.0104221,0.0106011,1.0171750414983545
6,0.0106967,0.0107218,1.0023465180850168
7,0.00914247,0.00899091,0.9834224230432257
8,0.00935412,0.00959591,1.0258485031194808
9,0.0151919,0.0149039,0.9810425292425569
10,0.0103937,0.0102922,0.9902344689571566
11,0.0220933,0.0225012,1.0184626108367696
12,0.0111668,0.0117636,1.0534441379804422
13,0.00486573,0.00474009,0.9741785919070723
14,0.0167352,0.0170895,1.0211709450738564
15,0.0252562,0.0233469,0.9244027209160524
16,0.0077916,0.00768489,0.9863044817495764
17,0.00716605,0.00686684,0.9582461746708437
18,0.00527308,0.00501768,0.9515653090793236
19,0.00391354,0.0040061,1.0236512211450504
20,0.00372229,0.00368218,0.989224375317345
21,0.00402017,0.00403218,1.0029874358547026
22,0.00931614,0.00946019,1.015462412544251
23,0.236322,0.238362,1.0086322898418258
24,0.153213,0.149339,0.9747149393328243
25,0.142115,0.14486,1.0193153432079654
26,0.247477,0.25572,1.033308145807489
27,0.151671,0.146711,0.9672976376499134
28,0.140582,0.140491,0.9993526909561679
29,0.0288828,0.0287311,0.9947477391388646
30,0.144717,0.145945,1.0084855269249637
31,0.0292821,0.0299673,1.023399961068366
32,0.236857,0.22914,0.9674191600839325
33,0.00985192,0.00945869,0.9600859527888981
34,0.234172,0.233013,0.9950506465333174
35,0.00909216,0.00916004,1.007465772709675
36,0.138058,0.135746,0.9832534152312797
37,0.00511647,0.00495192,0.9678391547297259
38,0.00451835,0.00446816,0.9888919627740215
39,0.0047168,0.00470808,0.9981512890094979
40,0.00245148,0.00250354,1.0212361512229347
41,0.00337998,0.00336051,0.9942396108852716
42,0.00728992,0.00720913,0.9889175738554058
43,0.00581616,0.00578993,0.9954901515776733
44,0.00242877,0.00241115,0.9927452990608415
45,0.0048276,0.00483151,1.0008099262573535
46,0.00387975,0.00392101,1.0106347058444487
47,0.00879534,0.00876431,0.9964719953975628
48,0.00975801,0.00954652,0.9783265235432225
49,0.00905939,0.00900309,0.9937854535459892
50,0.0153896,0.0153703,0.9987459063263503
