shape,query_file,query_id,decomposition_id,decomposition_name,relation_order,repetition,atoms,variables,wall_seconds,user_seconds,system_seconds,cardinality
j3,tmp_queries/j3_1.query,1,1,root=0|child=1+2,query_atom_order,1,3,4,0.293657185,0.283632000,0.009700000,245
j3,tmp_queries/j3_1.query,1,2,root=1|child=0+2,query_atom_order,1,3,4,0.142496249,0.139134000,0.002203000,245
j3,tmp_queries/j3_1.query,1,3,root=2|child=0+1,query_atom_order,1,3,4,0.021953537,0.021970000,0.000000000,245
j3,tmp_queries/j3_1.query,1,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.014334436,0.013819000,0.000538000,245
j3,tmp_queries/j3_1.query,1,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.262285861,0.262186000,0.000000000,245
j3,tmp_queries/j3_1.query,1,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.251772336,0.251679000,0.000000000,245
j3,tmp_queries/j3_1.query,1,7,root=0|children=1;2,query_atom_order,1,3,4,0.337686257,0.335603000,0.000977000,245
j3,tmp_queries/j3_1.query,1,8,root=1|children=0;2,query_atom_order,1,3,4,1.041144111,1.034674000,0.005917000,245
j3,tmp_queries/j3_1.query,1,9,root=2|children=1;0,query_atom_order,1,3,4,0.674334158,0.670201000,0.003736000,245
j3,tmp_queries/j3_2.query,2,1,root=0|child=1+2,query_atom_order,1,3,4,0.067950782,0.065645000,0.002284000,5
j3,tmp_queries/j3_2.query,2,2,root=1|child=0+2,query_atom_order,1,3,4,0.093405660,0.074707000,0.018677000,5
j3,tmp_queries/j3_2.query,2,3,root=2|child=0+1,query_atom_order,1,3,4,0.112087513,0.106685000,0.005352000,5
j3,tmp_queries/j3_2.query,2,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.111868839,0.109182000,0.002655000,5
j3,tmp_queries/j3_2.query,2,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.061109162,0.050248000,0.010852000,5
j3,tmp_queries/j3_2.query,2,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.119965141,0.110910000,0.009017000,5
j3,tmp_queries/j3_2.query,2,7,root=0|children=1;2,query_atom_order,1,3,4,2.367254476,2.326449000,0.038755000,5
j3,tmp_queries/j3_2.query,2,8,root=1|children=0;2,query_atom_order,1,3,4,2.293799596,2.287834000,0.004416000,5
j3,tmp_queries/j3_2.query,2,9,root=2|children=1;0,query_atom_order,1,3,4,2.678661400,2.671676000,0.004639000,5
j3,tmp_queries/j3_3.query,3,1,root=0|child=1+2,query_atom_order,1,3,4,1.087000191,1.062584000,0.023838000,1490
j3,tmp_queries/j3_3.query,3,2,root=1|child=0+2,query_atom_order,1,3,4,0.323206544,0.313854000,0.009215000,1490
j3,tmp_queries/j3_3.query,3,3,root=2|child=0+1,query_atom_order,1,3,4,0.525840858,0.525591000,0.000000000,1490
j3,tmp_queries/j3_3.query,3,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.024462090,0.024133000,0.000332000,1490
j3,tmp_queries/j3_3.query,3,5,root=1+0|child=1+2,query_atom_order,1,3,4,1.076825674,1.059574000,0.015556000,1490
j3,tmp_queries/j3_3.query,3,6,root=2+0|child=2+1,query_atom_order,1,3,4,1.014161034,1.001638000,0.011155000,1490
j3,tmp_queries/j3_3.query,3,7,root=0|children=1;2,query_atom_order,1,3,4,1.387707207,1.378714000,0.008230000,1490
j3,tmp_queries/j3_3.query,3,8,root=1|children=0;2,query_atom_order,1,3,4,1.633746278,1.632433000,0.000000000,1490
j3,tmp_queries/j3_3.query,3,9,root=2|children=1;0,query_atom_order,1,3,4,2.325223194,2.322430000,0.000000000,1490
j3,tmp_queries/j3_4.query,4,1,root=0|child=1+2,query_atom_order,1,3,4,0.195351094,0.189009000,0.000000000,1
j3,tmp_queries/j3_4.query,4,2,root=1|child=0+2,query_atom_order,1,3,4,0.060955763,0.055985000,0.005000000,1
j3,tmp_queries/j3_4.query,4,3,root=2|child=0+1,query_atom_order,1,3,4,0.102118143,0.098536000,0.003789000,1
j3,tmp_queries/j3_4.query,4,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.159506286,0.155051000,0.004303000,1
j3,tmp_queries/j3_4.query,4,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.131952166,0.131910000,0.000000000,1
j3,tmp_queries/j3_4.query,4,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.030286328,0.030291000,0.000004000,1
j3,tmp_queries/j3_4.query,4,7,root=0|children=1;2,query_atom_order,1,3,4,0.857504912,0.848609000,0.007543000,1
j3,tmp_queries/j3_4.query,4,8,root=1|children=0;2,query_atom_order,1,3,4,1.125988167,0.945494000,0.173904000,1
j3,tmp_queries/j3_4.query,4,9,root=2|children=1;0,query_atom_order,1,3,4,0.817464595,0.811187000,0.005103000,1
