dataset,fast_time,slow_time,speedup
1,0.157401,0.0401535,0.2551032077305735
2,0.214819,0.031681,0.1474776439700399
3,0.260209,0.0418596,0.16086914749297676
4,0.16567,0.0756975,0.45691736584776965
5,0.210821,0.0388184,0.18412966450211318
6,0.308219,0.128895,0.4181929082892359
7,0.158819,0.0287355,0.18093238214571306
8,0.249917,0.184507,0.7382731066714149
9,0.0573519,0.0270457,0.4715746121750108
10,0.162108,0.133885,0.8259000172724357
11,0.140342,0.0638232,0.45476906414330703
12,0.156909,0.103995,0.6627726899030649
13,1.43223,1.08113,0.754857809150765
14,0.271727,0.21455,0.789579246817578
15,1.35198,1.04966,0.7763872246630867
16,0.401582,0.151616,0.3775468023965218
17,0.191259,0.119582,0.6252359366095189
18,1.25144,1.03516,0.8271750942913764
19,1.21072,1.01946,0.8420278842341747
20,0.799945,0.259062,0.32384976467132115
21,1.24289,1.04807,0.8432524197636154
22,1.22186,1.01883,0.833835300279901
23,1.03244,0.861638,0.8345647204680176
24,1.31201,0.991,0.7553296087682259
25,1.18294,1.01483,0.8578879740308044
26,1.29123,1.05084,0.8138286749843172
27,1.25462,1.02683,0.8184390492738836
28,0.340838,0.229495,0.6733257441951895
29,1.02124,0.832461,0.8151472719439113
30,1.22013,1.03057,0.8446395056264496
31,1.03625,0.817719,0.7891136308805791
32,1.35924,0.325577,0.2395287072187399
33,3.15472,0.916917,0.29064924937870873
34,1.28253,0.295852,0.2306784246762259
35,3.96924,0.434661,0.10950736161078696
36,0.564175,0.267543,0.47421987858377274
37,8.26024,0.506509,0.061318920515626665
38,6.33825,0.449497,0.07091815564233028
39,11.2243,0.482395,0.04297773580535089
40,2.80988,0.488258,0.17376471593092943
41,0.0182401,0.0172596,0.9462448122543189
42,0.318712,0.11104,0.3484023193353247
43,0.415236,0.375367,0.9039847219412576
44,7.97328,0.682726,0.08562674332269782
45,11.6878,0.750534,0.06421516453053612
46,7.8511,0.656547,0.08362484237877495
47,0.809509,0.145545,0.1797941715286674
48,0.41519,0.132996,0.32032563404706277
49,0.672576,0.160891,0.2392160885907318
50,0.382596,0.125766,0.32871749835335445
