dataset,fast_time,slow_time,speedup
1,0.860974,0.0623606,0.07243029406230618
2,0.934869,0.0462089,0.049428208658111455
3,0.00128896,0.882828,684.9149702085401
4,0.00125414,0.398648,317.8656290366307
5,0.00127068,0.25713,202.3562187175371
6,0.0133577,0.0150752,1.1285775245738414
7,0.0132416,0.0152465,1.1514091952634122
8,0.0016073,0.574212,357.2525353076588
9,0.00162925,1.40985,865.3368114162959
10,0.0017232,0.725271,420.8861420612813
11,0.00216631,0.0105405,4.865647114217263
12,0.00204989,0.177894,86.78221758240686
13,0.0022435,0.0798887,35.60895921551148
14,0.00214189,0.0828536,38.682472022372764
15,0.0148255,0.0938668,6.331442447135004
16,0.0153801,0.0346428,2.252443092047516
17,0.0149093,0.306118,20.532016929030874
18,0.362172,0.0188126,0.051943827794528566
19,0.112681,0.0155154,0.1376931337137583
20,0.105853,0.00951309,0.08987076417295684
21,0.0132985,0.133525,10.040606083392865
22,0.0132008,0.117532,8.90339979395188
23,0.0130896,0.067068,5.123762376237624
24,0.101718,0.192773,1.8951709628580977
25,0.101477,0.693417,6.8332430008770455
26,0.103495,0.163394,1.5787622590463308
27,0.099604,3.93209,39.47722983012731
28,0.00678554,0.0204047,3.007085655673683
29,0.00682128,0.0201461,2.9534192996035937
30,0.00692059,0.0151636,2.191084864151756
31,0.00182805,0.708754,387.71040179426166
32,0.00183471,0.40213,219.17905282033672
33,0.00179004,0.0875414,48.904717213023176
34,0.00185001,0.113968,61.6039913297766
35,0.0121808,0.0570751,4.685661040325758
36,0.0122685,0.0163937,1.3362432245180749
37,0.0120133,0.0645979,5.377198604879592
38,0.0123493,0.0834875,6.760504643987918
39,0.0120697,0.0294011,2.435942898332187
40,0.0173505,0.656938,37.86277052534509
41,0.0183878,0.362297,19.70311837196402
42,0.0175853,0.252037,14.332254780981842
43,0.330436,0.0641747,0.19421219237613335
44,0.327574,0.0375931,0.1147621606110375
45,0.369931,0.124963,0.33780083312834014
46,0.0144754,0.0222021,1.53378144990812
47,0.0143471,0.0185473,1.292756027350475
48,0.00206002,1.10787,537.7957495558295
49,0.00219658,0.0521894,23.75938959655464
