dataset,fast_time,slow_time,speedup
1,0.227994,0.0713416,0.31290998885935595
2,0.564603,0.923209,1.6351471742091346
3,0.221719,0.123267,0.5559604724899535
4,0.0207194,0.00668711,0.32274631504773305
5,7.41251,0.762527,0.10287028280568929
6,0.217338,0.0319237,0.1468850362108789
7,0.0155114,0.00328835,0.21199569348994934
8,0.305698,0.135104,0.44195251522744666
9,0.0715518,0.0352187,0.4922126347625077
10,0.235824,0.0515519,0.218603280412511
11,0.0545287,0.013147,0.2411023919513944
12,0.0246204,0.0139547,0.5667942031811019
13,0.0866325,0.0125388,0.14473552073413556
14,0.213076,0.0922616,0.4329985545063733
15,0.389712,0.0406124,0.1042113150223755
16,0.0738409,0.0738073,0.9995449676263427
17,0.0747376,0.0090596,0.1212187707392263
18,0.0845113,0.00503941,0.05963001397446259
19,0.0228419,0.00828738,0.3628148271378476
20,0.225191,0.170853,0.7587026124489877
21,0.146248,0.0107119,0.07324476232153602
22,0.198139,0.140974,0.7114904183426786
23,0.0613525,0.00512853,0.08359121470192739
24,0.192901,0.0219481,0.11377908875537195
25,0.138648,0.0435723,0.314265622295309
26,0.0205705,0.00283159,0.1376529496123089
27,0.00360446,0.00165705,0.45972212203769774
28,0.0621973,0.00643557,0.10347024710075839
29,0.0416022,0.0081683,0.19634298186153618
30,0.618401,0.306287,0.4952886557427947
31,0.282366,0.00936266,0.033157887281046586
32,0.0317359,0.010789,0.33996199887194
33,0.0898512,0.0235266,0.2618395747636092
34,0.216612,0.0245673,0.11341615422968257
35,0.0166639,0.0105873,0.6353434670155246
36,0.749146,0.078101,0.10425337651138764
37,0.161861,0.0178563,0.11031873026856376
38,0.0378253,0.0125497,0.33178058072242655
39,0.0302616,0.00896681,0.2963098448198377
40,5.99812,0.992742,0.16550885944262536
41,0.354401,0.24018,0.6777068913462434
42,2.59405,0.237136,0.09141535436865134
43,0.209655,0.00174752,0.008335217380935346
44,0.0476305,0.0248388,0.5214893818036762
45,0.0630742,0.00993286,0.1574789692140368
46,0.236623,0.032302,0.13651251146338267
47,0.202062,0.0837679,0.41456533143292656
48,0.103192,0.0838297,0.8123662687030001
49,0.227889,0.00245969,0.010793368701429204
50,0.272313,0.0149954,0.055066779771806705
